,Address Building,Address Street Name,Address City,Address State,Address ZIP,Address Borough,Latitude,Longitude
159,1315,BOSTON RD,BRONX,NY,10456,Bronx,40.831749373059665,-73.89936140452932
160,766,E 152ND ST,BRONX,NY,10455,Bronx,40.81570427034747,-73.90649912219448
161,1029,WESTCHESTER AVE,BRONX,NY,10459,Bronx,40.82412705078374,-73.89299205328858
162,527,E 137TH ST,BRONX,NY,10454,Bronx,40.80660128419153,-73.91904995927935
163,691,CO OP CITY BLVD,BRONX,NY,10475,Bronx,40.87986413382759,-73.82390861428429
164,3901,WHITE PLAINS RD,BRONX,NY,10466,Bronx,40.885802840480444,-73.86159166845275
165,760,E 187TH ST,BRONX,NY,10458,Bronx,40.85359786575779,-73.88257744116746
166,1814,CROTONA AVE,BRONX,NY,10457,Bronx,40.84308226436962,-73.89322901399008
167,1760,E 172ND ST,BRONX,NY,10472,Bronx,40.832703463296106,-73.86832233602262
168,1584,DR MARTIN L KING JR BLVD,BRONX,NY,10453,Bronx,40.846776857717416,-73.9207251423903
169,260,E 143RD ST,BRONX,NY,10451,Bronx,40.81542110256622,-73.92460641447877
170,590,SOUTHERN BLVD,BRONX,NY,10455,Bronx,40.812555610576105,-73.90262366345733
171,70,E 167TH ST,BRONX,NY,10452,Bronx,40.835053956452924,-73.92036689198544
172,1440,DR MARTIN L KING JR BLVD,BRONX,NY,10452,Bronx,40.84368054584836,-73.92439367448668
173,1905,WILLIAMSBRIDGE RD,BRONX,NY,10461,Bronx,40.85260354753634,-73.85317697943054
174,2255,GRAND CONCOURSE,BRONX,NY,10453,Bronx,40.85644454765101,-73.90054950106486
175,1760,WESTCHESTER AVE,BRONX,NY,10472,Bronx,40.83139388164677,-73.86801416006722
176,268,CYPRESS AVE,BRONX,NY,10454,Bronx,40.80607627564513,-73.91419579946563
177,649,ALLERTON AVE,BRONX,NY,10467,Bronx,40.865404696449886,-73.86901320862465
178,885,E TREMONT AVE,BRONX,NY,10460,Bronx,40.8424624063232,-73.88512340732944
